code|lat|lng|storecd|name|addr|star
3837|37.539305|126.963060|1572|효창공원앞역|서울특별시 용산구 백범로 313 (효창동, 용산 롯데캐슬 센터포레)|pin_general
3918|37.555165|126.968446|1655|서울역서부|서울특별시 용산구 만리재로 202 (서계동)|pin_general
3584|37.534273|126.994789|1415|이태원역|서울특별시 용산구 이태원로 188 (이태원동)|pin_general
3556|37.537131|127.000980|1339|한강진역R|서울특별시 용산구 이태원로 252 (한남동)|pin_reserve
3550|37.527586|126.965401|1340|용산역써밋R|서울특별시 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋)|pin_reserve
3518|37.518605|126.977271|1268|이촌|서울특별시 용산구 이촌로 276 (이촌동)|pin_general
3487|37.528702|126.966757|1253|신용산역|서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산)|pin_general
3386|37.523818|126.970389|1170|용산파크타워|서울특별시 용산구 서빙고로 67 (용산동5가, 파크타워)|pin_general
3321|37.542831|126.972242|1115|남영동|서울특별시 용산구 한강대로 275 (갈월동)|pin_general
3288|37.534850|127.010919|1093|한남동R|서울특별시 용산구 독서당로 94 (한남동)|pin_reserve
3246|37.551102|126.988317|1040|서울타워|서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층|pin_general
9934|37.551752|126.972694|746|서울역동자동|서울특별시 용산구 한강대로 372 (동자동)|pin_general
9800|37.533394|127.00563|612|순천향입구|서울특별시 용산구 대사관로 67 (한남동)|pin_general
9391|37.54460479|126.9672252|135|숙대|서울특별시 용산구 청파로47길 57 (청파동3가)|pin_general
9462|37.5289857|126.991782|94|동빙고|서울특별시 용산구 장문로 12 (동빙고동)|pin_general
9577|37.544118|126.971891|370|숙대입구역|서울특별시 용산구 한강대로 291 (갈월동)|pin_general
9307|37.5288539|126.96404469999993|257|용산아이파크몰|서울특별시 용산구 한강대로23길 55|pin_general
9568|37.52111|126.96905|522|동부이촌동|서울특별시 용산구 이촌로 198 (이촌동)|pin_general
3891|37.538571|126.967409|1673|용산리첸시아|서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)|pin_general
3223|37.597842|127.092509|1055|상봉|서울특별시 중랑구 상봉로 131 (상봉동, 상봉 듀오트리스 주상복합)|pin_general
3135|37.5930326|127.07473579999998|964|중랑역|서울특별시 중랑구 망우로30길 3 (상봉동)|pin_general
3087|37.60538908|127.0957558|903|중랑구청|서울특별시 중랑구 신내로 72|pin_general
3023|37.579594|127.087966|838|사가정역|서울특별시 중랑구 면목로 310|pin_general
9686|37.59689|127.08647|493|상봉역|서울특별시 중랑구 망우로 307, ,3,4번지 (상봉동)|pin_general
9570|37.613433|127.077484|363|묵동이마트|서울특별시 중랑구 동일로 932, 묵동이마트 B1층 (묵동)|pin_general
3936|37.615368|127.076633|1668|묵동|서울특별시 중랑구 동일로 952 |pin_general
3762|37.501087|127.043069|1509|역삼아레나빌딩|서울특별시 강남구 언주로 425 (역삼동)|pin_general
3672|37.510178|127.022223|1434|논현역사거리|서울특별시 강남구 강남대로 538 (논현동)|pin_general
3858|37.514132|127.020563|1595|신사역성일빌딩|서울특별시 강남구 강남대로 584 (논현동)|pin_general
3669|37.499517|127.031495|1527|국기원사거리|서울특별시 강남구 테헤란로 125 (역삼동)|pin_general
